Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
2000,A.J. Burnett,Marlins,13,30,0.375,122,0,0.9,3.5,0.5,23,512
1999,A.J. Burnett,Marlins,7,17,0.106,-50,0,-3.5,1.9,-0.1,22,512
2015,A.J. Cole,Nationals,3,2,0,-100,0,-0.5,0.2,0,23,11467
2000,A.J. Pierzynski,Twins,33,96,0.353,103,0.2,0.6,2,0.6,23,746
1998,A.J. Pierzynski,Twins,7,13,0.319,85,0,-0.3,-0.7,-0.1,21,746
1999,A.J. Pierzynski,Twins,9,24,0.316,79,0,-0.7,0.4,0.1,22,746
2014,Aaron Altherr,Phillies,2,5,0,-100,0,-1.2,0.1,-0.1,23,11270
2002,Aaron Cook,Rockies,9,12,0.081,-83,0,-2.7,1.2,-0.1,23,1571
2008,Aaron Cunningham,Athletics,22,87,0.309,88,0.2,-1.1,0.5,0.2,22,4087
2009,Aaron Cunningham,Athletics,23,57,0.208,19,-0.1,-5.9,-1.8,-0.6,23,4087
2013,Aaron Hicks,Twins,81,313,0.266,62,3.2,-10.2,-5.7,-0.6,23,5297
2005,Aaron Hill,Blue Jays,105,407,0.322,93,3,-0.3,0.8,1.4,23,6104
1996,Aaron Holbert,Cardinals,1,3,0,-100,0,-0.9,0,-0.1,23,1960
2008,Aaron Laffey,Indians,16,2,0.448,179,0,0.2,0.2,0,23,6248
2015,Aaron Nola,Phillies,13,26,0.102,-49,0,-4.5,2.7,-0.1,22,16149
1963,Aaron Pointer,Colt .45's,2,5,0.179,15,0,-0.5,-1.1,-0.1,21,1010414
2001,Aaron Rowand,White Sox,63,148,0.361,120,0.6,4.3,3.9,1.3,23,254
1920,Aaron Ward,Yankees,127,547,0.324,81,0.8,-12.6,15.3,2.1,23,1013602
1919,Aaron Ward,Yankees,27,40,0.286,66,-0.2,-1.8,0.1,0,22,1013602
1918,Aaron Ward,Yankees,20,36,0.171,0,0.1,-3.7,0.6,-0.2,21,1013602
1917,Aaron Ward,Yankees,8,27,0.134,-20,-0.1,-3.4,-0.6,-0.4,20,1013602
1897,Abbie Johnson,Colonels,48,176,0.293,63,-1,-11.3,-3.6,-0.7,23,1006417
1896,Abbie Johnson,Colonels,25,93,0.26,48,-0.7,-8.4,-1.5,-0.5,22,1006417
2006,Abe Alvarez,Red Sox,1,1,0,-100,0,-0.3,0.1,0,23,6259
1914,Abe Bowman,Naps,22,21,0.046,-82,0,-4.1,1.1,-0.2,21,1001263
1908,Abe Kruger,Superbas,2,2,0,-89,0,-0.4,0.1,0,23,1007179
1883,Abe Wolstenholme,Quakers,3,11,0.117,11,0,-1.6,-2,-0.3,22,1014199
1925,Abie Hood,Braves,5,23,0.372,111,0,0.4,-0.8,0,22,1005993
1878,Abner Dalrymple,Grays,61,277,0.366,137,0,14.3,1.2,2.4,20,1002948
1880,Abner Dalrymple,White Stockings,86,385,0.355,146,0,22.7,-1.3,3.5,22,1002948
1881,Abner Dalrymple,White Stockings,82,377,0.351,127,0,14.3,-7.1,2,23,1002948
1879,Abner Dalrymple,White Stockings,71,337,0.303,112,0,5.6,-12.4,0.4,21,1002948
1884,Abner Powell,Nationals,48,194,0.307,120,0,5.6,-3.4,1.1,23,1010479
1998,Abraham Nunez,Pirates,24,67,0.302,78,-0.1,-1.9,-1,-0.1,22,1420
1997,Abraham Nunez,Pirates,19,45,0.291,68,0.2,-1.6,3.5,0.3,21,1420
1999,Abraham Nunez,Pirates,90,301,0.261,45,1.4,-21.3,8.2,-0.3,23,1420
1940,Ace Williams,Bees,5,2,0,-100,0,-0.5,0.1,0,23,1013968
1910,Ad Brennan,Phillies,21,28,0.321,90,-0.1,-0.4,0,0.1,22,1001387
1911,Ad Brennan,Phillies,5,10,0.214,19,-0.1,-1.1,0.6,0,23,1001387
1891,Ad Gumbert,Colts,34,121,0.406,136,-0.5,6,-0.1,0.9,22,1005139
1889,Ad Gumbert,White Stockings,41,165,0.373,108,-1.4,0.8,-0.7,0.6,20,1005139
1888,Ad Gumbert,White Stockings,7,25,0.364,129,-0.4,0.6,-0.1,0.1,19,1005139
1890,Ad Gumbert,Reds,44,165,0.34,89,-0.7,-3.9,-0.4,0.3,21,1005139
1892,Ad Gumbert,Colts,52,193,0.286,77,-0.8,-6.8,-0.4,0,23,1005139
1929,Ad Liska,Senators,24,32,0.216,14,0,-3.8,2.2,0,22,1007654
1930,Ad Liska,Senators,32,62,0.169,-17,0,-10.3,3.7,-0.4,23,1007654
1917,Ad Swigler,Giants,1,2,0,-100,0,-0.4,0.1,0,21,1012791
1929,Adam Comorosky,Pirates,127,533,0.38,105,3.6,7.5,-1.2,2.3,23,1002486
1926,Adam Comorosky,Pirates,8,16,0.351,98,0.2,0.1,-0.3,0,20,1002486
1928,Adam Comorosky,Pirates,51,198,0.35,94,0.1,-1.5,-1,0.4,22,1002486
1927,Adam Comorosky,Pirates,18,68,0.246,32,0,-5.9,1.3,-0.2,21,1002486
2001,Adam Dunn,Reds,66,286,0.398,138,-0.1,14.3,-1.8,2.1,21,319
2002,Adam Dunn,Reds,158,676,0.373,125,2.5,23.8,-4.4,4.1,22,319
2003,Adam Dunn,Reds,116,469,0.351,109,3.8,9.4,-8.2,1.6,23,319
2012,Adam Eaton,Diamondbacks,22,103,0.355,119,0.8,3,0.4,0.7,23,11205
2000,Adam Eaton,Padres,23,45,0.348,109,0.4,0.9,5.2,0.7,22,1029
2001,Adam Eaton,Padres,23,44,0.16,-7,0.2,-5.9,4.8,0,23,1029
2001,Adam Johnson,Twins,7,2,0,-100,0,-0.6,0.2,0,21,733
2009,Adam Jones,Orioles,119,519,0.343,103,0.4,2.6,-5.6,1.5,23,6368
2008,Adam Jones,Orioles,132,514,0.312,84,-0.6,-10.5,7.8,1.5,22,6368
2007,Adam Jones,Mariners,41,71,0.307,86,1.5,0.2,-0.8,0.2,21,6368
2006,Adam Jones,Mariners,32,76,0.239,39,0.1,-5.8,1.3,-0.2,20,6368
1999,Adam Kennedy,Cardinals,33,110,0.296,68,-0.5,-5.2,-1.7,-0.3,23,19
2006,Adam Lind,Blue Jays,18,65,0.432,163,-0.9,4.3,-1.7,0.5,22,8027
2007,Adam Lind,Blue Jays,89,311,0.295,75,-0.8,-10.6,3,0.3,23,8027
2006,Adam Loewen,Orioles,22,2,0,-100,0,-0.6,0.2,0,22,2134
2005,Adam Wainwright,Cardinals,3,0,0, ,0,0,0,0,23,2233
2011,Adam Wilk,Tigers,5,1,0,-100,0,-0.3,0.1,0,23,8421
1903,Addie Joss,Naps,34,116,0.213,37,-0.4,-9.1,0,-0.5,23,1006630
1902,Addie Joss,Bronchos,33,115,0.16,2,-0.3,-15.6,0,-1.2,22,1006630
2015,Addison Russell,Cubs,142,523,0.304,90,0.4,-5.7,17.1,2.9,21,14106
2012,Adeiny Hechavarria,Blue Jays,41,137,0.281,71,-0.1,-4.7,-1.3,-0.2,23,10459
1964,Adolfo Phillips,Phillies,13,17,0.297,90,0,-0.2,-1.1,-0.1,22,1010280
1965,Adolfo Phillips,Phillies,41,93,0.292,84,-0.5,-2.2,-2,-0.1,23,1010280
1887,Adonis Terry,Grays,86,368,0.33,95,-0.4,-3.7,-2.7,0.9,22,1012926
1886,Adonis Terry,Grays,75,310,0.283,87,1.3,-4.7,-2,0.4,21,1012926
1888,Adonis Terry,Bridegrooms,30,120,0.279,89,-0.1,-1.9,-0.4,0.2,23,1012926
1884,Adonis Terry,Atlantics,67,244,0.257,86,0,-5.1,0.3,0.3,19,1012926
1885,Adonis Terry,Grays,71,274,0.195,47,0,-21.3,-3.7,-1.3,20,1012926
2000,Adrian Beltre,Dodgers,138,575,0.362,116,0.2,13,9.1,3.9,21,639
1999,Adrian Beltre,Dodgers,152,614,0.338,100,0.4,0.8,14.4,3.4,20,639
2002,Adrian Beltre,Dodgers,159,635,0.313,94,-0.2,-5,24.1,4,23,639
2001,Adrian Beltre,Dodgers,126,515,0.311,90,0.8,-5.7,-2.1,0.9,22,639
1998,Adrian Beltre,Dodgers,77,214,0.287,75,0.2,-6.5,1.5,0.2,19,639
1997,Adrian Brown,Pirates,48,167,0.247,39,-0.1,-13,-5.5,-1.3,23,985
1973,Adrian Devine,Braves,24,5,0.325,94,0,0,0.4,0.1,21,1003243
1975,Adrian Devine,Braves,5,5,0,-100,0,-1.3,0.4,-0.1,23,1003243
1966,Adrian Garrett,Braves,4,3,0,-100,0,-0.7,0,-0.1,23,1004543
2005,Adrian Gonzalez,Rangers,43,162,0.287,67,-0.1,-6.7,-6.3,-0.7,23,1908
2004,Adrian Gonzalez,Rangers,16,44,0.283,59,-0.1,-2.4,0,-0.1,22,1908
1920,Adrian Lynch,Browns,5,10,0.263,43,0,-0.7,0.4,0,23,1007860
1950,Al Aber,Indians,1,3,0.247,37,0,-0.3,0.2,0,22,1000016
1884,Al Atkinson,- - -,49,186,0.205,58,0,-11.2,0.8,-0.2,23,1000349
1917,Al Baird,Giants,10,26,0.315,102,0.2,0.3,0.2,0.1,22,1000436
